,Office,Suboffice,Program,Value_FY2024,Value_FY2025,Value_FY2026,PercChange_25to26
15,National Nuclear Security Administration (NNSA),Weapons Activities,"15-D-301 HE Science & Engineering Facility, PX",101356,15000,0,-1.0
16,National Nuclear Security Administration (NNSA),Weapons Activities,"15-D-302 TA-55 Reinvestments Project, Phase 3, LANL",30000,39475,7942,-0.7988093730208993
18,National Nuclear Security Administration (NNSA),Weapons Activities,"17-D-710 West End Protected Area Reduction Project, Y-12",50000,54000,0,-1.0
20,National Nuclear Security Administration (NNSA),Weapons Activities,"18-D-690 Lithium Processing Facility, Y-12",210770,210000,65000,-0.6904761904761905
26,National Nuclear Security Administration (NNSA),Weapons Activities,"24-D-510 Analytic Gas Laboratory, PX",0,36000,0,-1.0
28,National Nuclear Security Administration (NNSA),Weapons Activities,"25-D-510 Plutonium Mission Safety & Quality Building, LANL",0,48500,0,-1.0
66,National Nuclear Security Administration (NNSA),Weapons Activities,W88 ALT 370,178823,63700,0,-1.0
74,Fossil Energy,"University Training, Research and Recruitment ",University Training and Research,10000,11000,0,-1.0
78,Credit Programs,Tribal Energy Loan Guarantee Program,Administrative Expenses - Tribal Energy Loan Guarantee Program,6300,6300,1000,-0.8412698412698413
81,Grid Deployment,Transmission Planning & Permitting (GDO),Transmission Planning & Permitting (GDO),38250,38250,0,-1.0
87,Office of Technology Commercialization,Technology Transitions Program Office,Technology Transitions Program Office,5000,5500,0,-1.0
88,Defense Environmental Cleanup,Technology Development and Deployment,Technology Development and Deployment,35569,35569,16012,-0.549832719502938
89,Energy Efficiency and Renewable Energy,Sustainable Transportation and Fuels (formerly Sustainable Transportation),Bioenergy Technologies,275000,305000,70000,-0.7704918032786885
90,Energy Efficiency and Renewable Energy,Sustainable Transportation and Fuels (formerly Sustainable Transportation),Hydrogen and Fuel Cells Technologies,170000,36715,0,-1.0
91,Energy Efficiency and Renewable Energy,Sustainable Transportation and Fuels (formerly Sustainable Transportation),Vehicle Technologies,450000,239952,25000,-0.8958124958324999
92,Energy Efficiency and Renewable Energy,Strategic Programs,Strategic Programs,21000,21000,0,-1.0
98,Energy Efficiency and Renewable Energy,State and Community Energy Program (SCEP),Local Government Energy Program (SCEP),12000,91,0,-1.0
99,Energy Efficiency and Renewable Energy,State and Community Energy Program (SCEP),State Energy Program (SCEP),66000,66000,0,-1.0
100,Energy Efficiency and Renewable Energy,State and Community Energy Program (SCEP),Training and Technical Assistance (SCEP),10000,10000,0,-1.0
101,Energy Efficiency and Renewable Energy,State and Community Energy Program (SCEP),Weatherization Assistance Program (SCEP),326000,326000,0,-1.0
102,Energy Efficiency and Renewable Energy,State and Community Energy Program (SCEP),Weatherization Readiness Fund (SCEP),30000,30000,0,-1.0
103,Defense Environmental Cleanup,SR Community and Regulatory Support,SR Community and Regulatory Support,12389,12389,5317,-0.5708289611752361
105,Fossil Energy,Special Recruitment Programs,Special Recruitment Programs,1000,1000,0,-1.0
124,Science,Science Laboratories Infrastructure,"20-SC-72, Seismic and Safety Modernization, LBNL",35000,23000,0,-1.0
129,Science,Science Laboratories Infrastructure,"20-SC-80, Utilities Infrastructure Project, FNAL",35000,35000,12000,-0.6571428571428571
144,Defense Environmental Cleanup,River Corridor and Other Cleanup Operations,River Corridor and Other Cleanup Operations,200000,155000,68562,-0.5576645161290322
154,Energy Efficiency and Renewable Energy,Renewable Energy,Geothermal Technologies,118000,487909,150000,-0.6925656218680123
155,Energy Efficiency and Renewable Energy,Renewable Energy,Renewable Energy Grid Integration,22000,110000,0,-1.0
156,Energy Efficiency and Renewable Energy,Renewable Energy,Solar Energy Technologies,318000,41917,0,-1.0
157,Energy Efficiency and Renewable Energy,Renewable Energy,Water Power Technologies,200000,300000,90000,-0.7
158,Energy Efficiency and Renewable Energy,Renewable Energy,Wind Energy Technologies,137000,29795,0,-1.0
166,ARPA-E,Projects,ARPA-E Projects,420000,420000,160000,-0.6190476190476191
168,Office of Technology Commercialization,Program Management,Office of Technology Transitions Program Direction,11500,11500,0,-1.0
176,Office of Clean Energy Demonstrations,Program Management,Program Direction - OCED,27500,27500,0,-1.0
180,Energy Efficiency and Renewable Energy,Program Management,Program Direction (EERE/SCEP),22000,22000,0,-1.0
182,Grid Deployment,Program Direction GDO,Program Direction GDO,6000,6000,0,-1.0
