,Office,Suboffice,Program,Value_FY2024,Value_FY2025,Value_FY2026,PercChange_25to26
3,Power Marketing Administrations,Western Area Power Administration,Less alternative financing (for PPW) - CROM,-240824,-163345,-270171,0.6539900211209403
4,Power Marketing Administrations,Western Area Power Administration,Offsetting Collections - Colorado River Dam (P.L. 98-381),-9521,-11075,-12293,0.10997742663656884
5,Power Marketing Administrations,Western Area Power Administration,Offsetting Collections (for O&M) - CROM,-29449,-29449,-33645,0.14248361574247004
6,Power Marketing Administrations,Western Area Power Administration,Offsetting Collections (for PD) - CROM,-183968,-183968,-214018,0.16334362497825708
8,Power Marketing Administrations,Western Area Power Administration,Program Direction - CROM,295039,308740,318737,0.03237999611323444
10,Power Marketing Administrations,Western Area Power Administration,Purchase Power And Wheeling - CROM,715824,638345,745171,0.16734837744479866
12,National Nuclear Security Administration (NNSA),Weapons Activities,"04-D-125 Chemistry and Metallurgy Research Replacement Project, LANL",227122,0,50000,1.0
14,National Nuclear Security Administration (NNSA),Weapons Activities,"07-D-220-04 Transuranic Liquid Waste Facility, LANL",0,0,5865,1.0
17,National Nuclear Security Administration (NNSA),Weapons Activities,"17-D-640 U1a Complex Enhancements Project, NNSS",126570,73083,150000,1.052460900619843
19,National Nuclear Security Administration (NNSA),Weapons Activities,"18-D-650 Tritium Finishing Facility, SRS",35000,0,50000,1.0
22,National Nuclear Security Administration (NNSA),Weapons Activities,"21-D-511 Savannah River Plutonium Processing Facility, SRS",1000235,800000,1726000,1.1575
23,National Nuclear Security Administration (NNSA),Weapons Activities,"21-D-512 Plutonium Pit Production Project, LANL",670000,470000,670000,0.425531914893617
24,National Nuclear Security Administration (NNSA),Weapons Activities,"22-D-513 Power Sources Capability, SNL",37886,50000,115000,1.3
25,National Nuclear Security Administration (NNSA),Weapons Activities,"23-D-517 Electrical Power Capacity Upgrade, LANL",75000,70000,85000,0.21428571428571427
27,National Nuclear Security Administration (NNSA),Weapons Activities,"24-D-513 Z-pinch Experimental Underground System (ZEUS) (ZTBFI), NNSS",80000,0,72000,1.0
29,National Nuclear Security Administration (NNSA),Weapons Activities,"25-D-511 PULSE New Access, NNSS",0,5000,48000,8.6
30,National Nuclear Security Administration (NNSA),Weapons Activities,"26-D-510 Product Realization Infrastructure for Stockpile Modernization, LLNL",0,0,15000,1.0
31,National Nuclear Security Administration (NNSA),Weapons Activities,"26-D-511 MESA Photolithography Capability (MPC), SNL",0,0,40000,1.0
32,National Nuclear Security Administration (NNSA),Weapons Activities,"26-D-512 LANSCE Modernization Project (LAMP), LANL",0,0,20000,1.0
33,National Nuclear Security Administration (NNSA),Weapons Activities,"26-D-513 Combined Radiation Environments for Survivability Testing, SNL",0,0,52248,1.0
34,National Nuclear Security Administration (NNSA),Weapons Activities,"26-D-514 NIF Enhanced Fusion Yield Capability, LLNL",0,0,26000,1.0
36,National Nuclear Security Administration (NNSA),Weapons Activities,Advanced Simulation & Computing,830000,850000,989995,0.1647
37,National Nuclear Security Administration (NNSA),Weapons Activities,Assessment Science (AS),836557,862609,1179959,0.3678955355207284
39,National Nuclear Security Administration (NNSA),Weapons Activities,B61-13,52000,16000,49357,2.0848125
40,National Nuclear Security Administration (NNSA),Weapons Activities,Capability Based Investments,156462,153244,177996,0.16152019002375298
41,National Nuclear Security Administration (NNSA),Weapons Activities,Engineering & Integrated Assessments,409532,425765,566777,0.3311967869599427
